GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Households
HC01_MOE_VC01,Total; Margin of Error; Households
HC02_EST_VC01,Households receiving food stamps; Estimate; Households
HC02_MOE_VC01,Households receiving food stamps; Margin of Error; Households
HC03_EST_VC01,Households not receiving food stamps; Estimate; Households
HC03_MOE_VC01,Households not receiving food stamps; Margin of Error; Households
HC01_EST_VC02,Total; Estimate; With one or more people 60 years and over
HC01_MOE_VC02,Total; Margin of Error; With one or more people 60 years and over
HC02_EST_VC02,Households receiving food stamps; Estimate; With one or more people 60 years and over
HC02_MOE_VC02,Households receiving food stamps; Margin of Error; With one or more people 60 years and over
HC03_EST_VC02,Households not receiving food stamps; Estimate; With one or more people 60 years and over
HC03_MOE_VC02,Households not receiving food stamps; Margin of Error; With one or more people 60 years and over
HC01_EST_VC03,Total; Estimate; With children under 18 years
HC01_MOE_VC03,Total; Margin of Error; With children under 18 years
HC02_EST_VC03,Households receiving food stamps; Estimate; With children under 18 years
HC02_MOE_VC03,Households receiving food stamps; Margin of Error; With children under 18 years
HC03_EST_VC03,Households not receiving food stamps; Estimate; With children under 18 years
HC03_MOE_VC03,Households not receiving food stamps; Margin of Error; With children under 18 years
HC01_EST_VC06,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level
HC01_MOE_VC06,Total; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level
HC02_EST_VC06,Households receiving food stamps; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level
HC02_MOE_VC06,Households receiving food stamps; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level
HC03_EST_VC06,Households not receiving food stamps; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level
HC03_MOE_VC06,Households not receiving food stamps; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level
HC01_EST_VC09,Total; Estimate; DISABILITY STATUS - With one or more people with a disability
HC01_MOE_VC09,Total; Margin of Error; DISABILITY STATUS - With one or more people with a disability
HC02_EST_VC09,Households receiving food stamps; Estimate; DISABILITY STATUS - With one or more people with a disability
HC02_MOE_VC09,Households receiving food stamps; Margin of Error; DISABILITY STATUS - With one or more people with a disability
HC03_EST_VC09,Households not receiving food stamps; Estimate; DISABILITY STATUS - With one or more people with a disability
HC03_MOE_VC09,Households not receiving food stamps; Margin of Error; DISABILITY STATUS - With one or more people with a disability
HC01_EST_VC12,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race
HC01_MOE_VC12,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race
HC02_EST_VC12,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race
HC02_MOE_VC12,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race
HC03_EST_VC12,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race
HC03_MOE_VC12,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race
HC01_EST_VC13,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White
HC01_MOE_VC13,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White
HC02_EST_VC13,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White
HC02_MOE_VC13,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White
HC03_EST_VC13,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White
HC03_MOE_VC13,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White
HC01_EST_VC14,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American
HC01_MOE_VC14,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American
HC02_EST_VC14,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American
HC02_MOE_VC14,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American
HC03_EST_VC14,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American
HC03_MOE_VC14,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American
HC01_EST_VC15,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native
HC01_MOE_VC15,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native
