GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC03_EST_VC34,HC03_MOE_VC34
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Households receiving food stamps; Estimate; Households,Households receiving food stamps; Margin of Error; Households,Households not receiving food stamps; Estimate; Households,Households not receiving food stamps; Margin of Error; Households,Total; Estimate; With one or more people 60 years and over,Total; Margin of Error; With one or more people 60 years and over,Households receiving food stamps; Estimate; With one or more people 60 years and over,Households receiving food stamps; Margin of Error; With one or more people 60 years and over,Households not receiving food stamps; Estimate; With one or more people 60 years and over,Households not receiving food stamps; Margin of Error; With one or more people 60 years and over,Total; Estimate; With children under 18 years,Total; Margin of Error; With children under 18 years,Households receiving food stamps; Estimate; With children under 18 years,Households receiving food stamps; Margin of Error; With children under 18 years,Households not receiving food stamps; Estimate; With children under 18 years,Households not receiving food stamps; Margin of Error; With children under 18 years,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Total; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households receiving food stamps; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households receiving food stamps; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households not receiving food stamps; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households not receiving food stamps; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Total; Estimate; DISABILITY STATUS - With one or more people with a disability,Total; Margin of Error; DISABILITY STATUS - With one or more people with a disability,Households receiving food stamps; Estimate; DISABILITY STATUS - With one or more people with a disability,Households receiving food stamps; Margin of Error; DISABILITY STATUS - With one or more people with a disability,Households not receiving food stamps; Estimate; DISABILITY STATUS - With one or more people with a disability,Households not receiving food stamps; Margin of Error; DISABILITY STATUS - With one or more people with a disability,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Households receiving food stamps; Estimate; Hispanic or Latino origin (of any race),Households receiving food stamps; Margin of Error; Hispanic or Latino origin (of any race),Households not receiving food stamps; Estimate; Hispanic or Latino origin (of any race),Households not receiving food stamps; Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Households receiving food stamps; Estimate; White alone, not Hispanic or Latino","Households receiving food stamps; Margin of Error; White alone, not Hispanic or Latino","Households not receiving food stamps; Estimate; White alone, not Hispanic or Latino","Households not receiving food stamps; Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households receiving food stamps; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households receiving food stamps; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households not receiving food stamps; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households not receiving food stamps; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Total; Estimate; WORK STATUS - Families,Total; Margin of Error; WORK STATUS - Families,Households receiving food stamps; Estimate; WORK STATUS - Families,Households receiving food stamps; Margin of Error; WORK STATUS - Families,Households not receiving food stamps; Estimate; WORK STATUS - Families,Households not receiving food stamps; Margin of Error; WORK STATUS - Families,Total; Estimate; WORK STATUS - Families - No workers in past 12 months,Total; Margin of Error; WORK STATUS - Families - No workers in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - Families - No workers in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - Families - No workers in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - Families - No workers in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - Families - No workers in past 12 months,Total; Estimate; WORK STATUS - Families - 1 worker in past 12 months,Total; Margin of Error; WORK STATUS - Families - 1 worker in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - Families - 1 worker in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - Families - 1 worker in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - Families - 1 worker in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - Families - 1 worker in past 12 months,Total; Estimate; WORK STATUS - Families - 2 or more workers in past 12 months,Total; Margin of Error; WORK STATUS - Families - 2 or more workers in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - Families - 2 or more workers in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - Families - 2 or more workers in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - Families - 2 or more workers in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - Families - 2 or more workers in past 12 months,Total; Estimate; PERCENT IMPUTED - Food stamp/SNAP recipiency,Total; Margin of Error; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households receiving food stamps; Estimate; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households receiving food stamps; Margin of Error; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households not receiving food stamps; Estimate; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households not receiving food stamps; Margin of Error; PERCENT IMPUTED - Food stamp/SNAP recipiency
0400000US01,01,Alabama,1841217,10615,291541,7605,1549676,11705,38.5,0.4,25.5,1.3,41.0,0.4,30.4,0.4,53.7,1.3,26.1,0.5,18.6,0.4,59.1,1.6,11.0,0.4,31.1,0.4,44.9,1.4,28.5,0.5,N,N,N,N,N,N,70.7,0.3,46.3,1.3,75.3,0.4,25.9,0.3,49.9,1.2,21.4,0.4,0.5,0.1,0.7,0.2,0.5,0.1,0.9,0.1,0.4,0.2,1.0,0.1,N,N,N,N,N,N,0.8,0.1,1.2,0.4,0.8,0.1,1.1,0.1,1.5,0.4,1.0,0.1,2.7,0.1,3.6,0.6,2.6,0.2,68.9,0.3,44.0,1.2,73.6,0.4,42830,598,15749,497,49741,612,1232515,11755,210434,6743,1022081,12574,19.2,0.4,28.0,1.4,17.3,0.4,36.0,0.6,48.2,1.6,33.5,0.6,44.8,0.6,23.8,1.4,49.2,0.6,2.5,(X),(X),(X),(X),(X)
0400000US02,02,Alaska,249659,2978,25706,2164,223953,2943,29.4,0.8,23.9,3.4,30.0,0.9,35.8,1.1,62.4,4.0,32.8,1.1,9.0,0.9,40.4,3.7,5.4,0.7,23.7,1.1,50.9,4.5,20.6,1.1,95.4,0.5,92.1,2.4,95.8,0.5,74.4,0.9,40.9,4.2,78.2,1.0,3.6,0.5,7.4,3.3,3.1,0.7,11.0,0.6,32.0,3.4,8.6,0.6,4.5,0.4,7.6,2.5,4.2,0.5,0.8,0.2,3.0,1.4,0.6,0.2,1.0,0.3,1.2,1.4,1.0,0.3,4.6,0.5,7.9,2.4,4.2,0.5,5.8,0.5,6.4,3.0,5.7,0.6,70.5,0.9,36.5,3.8,74.5,1.0,71583,1784,25645,1204,77389,2517,165015,3765,18904,1858,146111,3716,9.3,1.0,17.2,3.6,8.3,1.0,32.4,1.6,49.1,4.2,30.3,1.8,58.2,1.7,33.7,4.4,61.4,1.9,1.4,(X),(X),(X),(X),(X)
0400000US04,04,Arizona,2428743,11353,319186,8149,2109557,11660,39.7,0.3,27.9,1.1,41.4,0.3,30.8,0.4,57.3,1.3,26.8,0.4,16.0,0.4,52.0,1.7,10.6,0.3,25.8,0.4,39.6,1.5,23.7,0.4,98.1,0.2,97.2,0.5,98.2,0.2,83.0,0.3,70.1,1.2,84.9,0.3,4.0,0.1,7.1,0.7,3.5,0.2,3.3,0.1,8.4,0.6,2.6,0.1,2.9,0.1,1.6,0.3,3.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.8,0.2,9.9,1.0,4.0,0.2,1.9,0.2,2.8,0.5,1.8,0.2,22.3,0.3,40.9,1.3,19.5,0.3,66.4,0.3,41.0,1.4,70.3,0.4,50068,483,21165,645,55032,602,1579481,13962,235613,6811,1343868,13441,19.4,0.5,20.2,1.4,19.3,0.5,34.8,0.6,49.4,1.7,32.2,0.7,45.8,0.7,30.4,1.6,48.5,0.7,2.0,(X),(X),(X),(X),(X)
0400000US05,05,Arkansas,1131288,8373,162566,6284,968722,8834,38.1,0.5,25.2,1.6,40.3,0.5,31.4,0.6,53.1,1.6,27.8,0.7,17.9,0.5,57.1,1.7,11.4,0.5,32.2,0.7,49.3,1.8,29.3,0.7,98.5,0.2,98.1,0.5,98.6,0.2,80.1,0.4,64.2,1.6,82.8,0.4,15.4,0.4,30.5,1.6,12.9,0.4,0.6,0.1,0.7,0.3,0.6,0.1,1.1,0.1,0.4,0.3,1.2,0.1,0.2,0.1,0.6,0.5,0.1,0.1,1.2,0.2,1.7,0.6,1.1,0.2,1.5,0.2,1.9,0.5,1.4,0.2,4.6,0.2,5.2,0.8,4.5,0.3,76.9,0.4,60.8,1.6,79.6,0.5,41262,653,17315,618,46671,818,752212,9854,114015,5730,638197,10217,18.6,0.6,25.0,1.9,17.5,0.6,35.4,0.8,52.1,2.3,32.4,0.8,46.0,0.8,22.9,1.9,50.2,0.9,1.5,(X),(X),(X),(X),(X)
0400000US06,06,California,12758648,18835,1215985,15746,11542663,23070,36.9,0.1,24.0,0.6,38.2,0.1,35.5,0.2,70.0,0.6,31.9,0.2,14.7,0.1,49.9,0.7,11.0,0.1,23.5,0.2,35.0,0.6,22.3,0.2,96.9,0.1,96.3,0.3,97.0,0.1,66.6,0.2,58.2,0.6,67.5,0.2,6.4,0.1,11.5,0.4,5.9,0.1,0.7,0.1,1.3,0.1,0.6,0.1,13.2,0.1,6.9,0.4,13.9,0.1,0.3,0.1,0.5,0.1,0.3,0.1,9.6,0.1,17.9,0.5,8.8,0.1,3.1,0.1,3.7,0.3,3.0,0.1,28.5,0.1,51.7,0.7,26.1,0.1,49.1,0.1,26.6,0.6,51.5,0.1,61933,238,25146,399,67400,377,8762059,27318,1034228,15943,7727831,26629,12.9,0.2,19.1,0.6,12.1,0.2,34.4,0.2,46.9,0.7,32.7,0.3,52.7,0.3,34.0,0.7,55.2,0.3,1.5,(X),(X),(X),(X),(X)
0400000US08,08,Colorado,2039592,7530,180821,7528,1858771,10282,33.5,0.3,26.9,1.3,34.1,0.4,32.1,0.4,54.8,2.0,29.8,0.4,11.5,0.3,47.1,2.1,8.0,0.3,21.7,0.5,41.4,1.6,19.8,0.5,97.7,0.2,95.7,0.7,97.9,0.2,87.6,0.3,75.7,1.6,88.7,0.3,3.6,0.1,9.1,1.2,3.1,0.2,0.9,0.1,2.2,0.6,0.7,0.1,2.4,0.1,2.1,0.5,2.4,0.1,0.1,0.1,0.3,0.3,0.1,0.1,3.1,0.2,6.4,1.0,2.8,0.2,2.3,0.2,4.3,0.7,2.1,0.2,15.8,0.2,35.3,1.7,13.9,0.3,75.9,0.3,49.7,1.9,78.5,0.4,61303,487,22753,1304,66104,594,1315283,8405,125440,5804,1189843,10160,12.2,0.3,15.8,1.8,11.8,0.4,31.9,0.6,46.6,2.1,30.3,0.7,56.0,0.6,37.6,2.3,57.9,0.6,1.4,(X),(X),(X),(X),(X)
0400000US09,09,Connecticut,1355817,6673,173126,6013,1182691,7961,38.4,0.4,31.6,1.7,39.3,0.5,30.6,0.5,42.8,1.7,28.8,0.6,10.6,0.5,44.3,2.3,5.6,0.3,22.3,0.5,42.9,1.8,19.3,0.5,N,N,N,N,N,N,80.9,0.4,58.9,1.8,84.1,0.4,9.4,0.3,22.0,1.5,7.5,0.3,0.2,0.1,0.6,0.3,0.1,0.1,3.7,0.2,1.8,0.5,4.0,0.2,N,N,N,N,N,N,4.2,0.3,13.2,1.5,2.8,0.3,1.7,0.2,3.3,0.7,1.4,0.2,11.7,0.3,34.3,1.9,8.4,0.4,74.1,0.4,40.6,1.8,79.0,0.4,70048,828,20056,1117,78874,1350,887263,10002,107654,5387,779609,9953,12.2,0.5,20.4,2.2,11.0,0.4,31.3,0.8,49.8,2.8,28.8,0.8,56.5,0.8,29.8,2.8,60.2,0.8,1.4,(X),(X),(X),(X),(X)
0400000US10,10,Delaware,349743,3705,45168,3051,304575,4290,39.9,0.7,27.3,3.5,41.8,0.8,30.0,1.2,54.0,3.9,26.5,1.2,11.5,0.9,39.3,3.5,7.4,0.8,24.0,1.0,41.3,3.6,21.4,1.0,N,N,N,N,N,N,72.8,0.7,58.4,3.4,75.0,0.8,20.6,0.7,34.1,3.2,18.6,0.8,0.5,0.1,0.4,0.3,0.5,0.1,3.4,0.3,1.1,0.7,3.7,0.3,N,N,N,N,N,N,1.7,0.3,4.8,1.9,1.2,0.3,1.1,0.3,1.4,0.7,1.0,0.3,6.4,0.4,14.4,2.8,5.2,0.4,68.6,0.6,50.0,3.3,71.4,0.8,59716,1674,27834,2558,65374,1863,233000,4645,33011,2596,199989,4635,16.8,1.0,15.5,3.2,17.0,1.1,31.6,1.4,50.3,4.3,28.5,1.4,51.6,1.6,34.2,4.1,54.5,1.5,4.7,(X),(X),(X),(X),(X)
0400000US11,11,District of Columbia,277378,3304,39035,3220,238343,3885,28.5,0.7,32.3,3.6,27.8,0.8,20.4,1.1,39.7,4.2,17.2,1.1,16.9,1.3,53.3,4.5,11.0,1.1,19.5,1.0,49.3,4.0,14.7,0.9,N,N,N,N,N,N,45.1,0.9,5.0,1.7,51.7,1.2,45.9,0.9,88.5,2.7,38.9,1.2,0.4,0.2,0.4,0.6,0.4,0.2,3.7,0.3,2.0,1.1,3.9,0.4,N,N,N,N,N,N,2.9,0.5,2.9,1.7,2.9,0.5,2.0,0.4,1.1,0.6,2.2,0.4,8.0,0.7,5.4,2.2,8.5,0.8,41.1,0.8,3.3,1.4,47.3,1.2,71648,1996,16326,1825,82669,3058,117864,3359,23296,2514,94568,3205,14.5,1.7,34.9,5.5,9.4,1.3,34.1,2.3,40.3,5.4,32.6,2.6,51.4,2.1,24.8,4.9,58.0,2.3,1.5,(X),(X),(X),(X),(X)
